lemma,past,present_phones,past_phones
depressurize,depressurized,D IH P R EH SH ER AY Z,D IH P R EH SH ER AY Z D
engross,engrossed,IH N G R OW S,IH N G R OW S T
isolate,isolated,AY S AH L EY T,AY S AH L EY T AH D
pillory,pilloried,P IH L ER IY,P IH L ER IY D
squeak,squeaked,S K W IY K,S K W IY K T
exhume,exhumed,EH K S HH Y UW M,EH K S HH Y UW M D
undertake,undertook,AH N D ER T EY K,AH N D ER T UH K
quote,quoted,K W OW T,K W OW T IH D
slump,slumped,S L AH M P,S L AH M P T
rifle,rifled,R AY F AH L,R AY F AH L D
cause,caused,K AA Z,K AA Z D
spill,spilled,S P IH L,S P IH L D
decelerate,decelerated,D IH S EH L ER EY T,D IH S EH L ER EY T IH D
gild,gilded,G IH L D,G IH L D IH D
carry,carried,K AE R IY,K AE R IY D
patent,patented,P AE T AH N T,P AE T AH N T IH D
reoffer,reoffered,R IY AO F ER,R IY AO F ER D
parse,parsed,P AA R S,P AA R S T
dam,dammed,D AE M,D AE M D
detonate,detonated,D EH T AH N EY T,D EH T AH N EY T AH D
initial,initialed,IH N IH SH AH L,IH N IH SH AH L D
pronounce,pronounced,P R AH N AW N S,P R AH N AW N S T
fling,flung,F L IH NG,F L AH NG
shoulder,shouldered,SH OW L D ER,SH OW L D ER D
scuffle,scuffled,S K AH F AH L,S K AH F AH L D
invert,inverted,IH N V ER T,IH N V ER T IH D
capsize,capsized,K AE P S AY Z,K AE P S AY Z D
refill,refilled,R IY F IH L,R IY F IH L D
minimize,minimized,M IH N AH M AY Z,M IH N AH M AY Z D
interact,interacted,IH N T ER AE K T,IH N T ER AE K T AH D
swipe,swiped,S W AY P,S W AY P T
purge,purged,P ER JH,P ER JH D
typeset,typeset,T AY P S EH T,T AY P S EH T
grizzle,grizzled,G R IH Z AH L,G R IH Z AH L D
sit,sat,S IH T,S AE T
hawk,hawked,HH AO K,HH AO K T
cobble,cobbled,K AA B AH L,K AA B AH L D
hear,heard,HH IY R,HH ER D
confide,confided,K AH N F AY D,K AH N F AY D IH D
plate,plated,P L EY T,P L EY T IH D
rewire,rewired,R IY W AY ER,R IY W AY ER D
handicap,handicapped,HH AE N D IY K AE P,HH AE N D IY K AE P T
adjudicate,adjudicated,AH JH UW D IH K EY T,AH JH UW D AH K EY T IH D
warble,warbled,W AO R B AH L,W AO R B AH L D
read,read,R EH D,R EH D
wrong,wronged,R AO NG,R AO NG D
git,gotten,G IH T,G AA T AH N
inbreed,inbred,IH N B R IY D,IH N B R EH D
string,strung,S T R IH NG,S T R AH NG
trip,tripped,T R IH P,T R IH P T
surface,surfaced,S ER F AH S,S ER F IH S T
nettle,nettled,N EH T AH L,N EH T AH L D
garrison,garrisoned,G AE R IH S AH N,G AE R AH S AH N D
internalize,internalized,IH N T ER N AH L AY Z,IH N T ER N AH L AY Z D
tarnish,tarnished,T AA R N IH SH,T AA R N IH SH T
recline,reclined,R IH K L AY N,R IH K L AY N D
deputize,deputized,D EH P Y AH T AY Z,D EH P Y AH T AY Z D
spin,spun,S P IH N,S P AH N
disinvite,disinvited,D IH S IH N V AY T,D IH S IH N V AY T IH D
kick,kicked,K IH K,K IH K T
examine,examined,IH G Z AE M IH N,IH G Z AE M AH N D
ridicule,ridiculed,R IH D AH K Y UW L,R IH D AH K Y UW L D
express,expressed,IH K S P R EH S,IH K S P R EH S T
click,clicked,K L IH K,K L IH K T
bolt,bolted,B OW L T,B OW L T AH D
outperform,outperformed,AW T P ER F AO R M,AW T P ER F AO R M D
coiffe,coiffed,K OY F,K OY F T
wheel,wheeled,W IY L,W IY L D
syncopate,syncopated,S IH NG K AH P EY T,S IH NG K AH P EY T IH D
speckle,speckled,S P EH K AH L,S P EH K AH L D
team,teamed,T IY M,T IY M D
compute,computed,K AH M P Y UW T,K AH M P Y UW T AH D
gentrify,gentrified,JH EH N T R IH F AY,JH EH N T R IH F AY D
overuse,overused,OW V ER Y UW Z,OW V ER Y UW Z D
sweat,sweated,S W EH T,S W EH T IH D
fame,famed,F EY M,F EY M D
postpone,postponed,P OW S T P OW N,P OW S T P OW N D
scheme,schemed,S K IY M,S K IY M D
configure,configured,K AH N F IH G Y ER,K AH N F IH G Y ER D
fist,fisted,F IH S T,F IH S T IH D
propose,proposed,P R AH P OW Z,P R AH P OW Z D
recycle,recycled,R IY S AY K AH L,R IY S AY K AH L D
estimate,estimated,EH S T AH M AH T,EH S T AH M EY T AH D
explore,explored,IH K S P L AO R,IH K S P L AO R D
join,joined,JH OY N,JH OY N D
transcribe,transcribed,T R AE N S K R AY B,T R AE N S K R AY B D
creak,creaked,K R IY K,K R IY K T
disapprove,disapproved,D IH S AH P R UW V,D IH S AH P R UW V D
share,shared,SH EH R,SH EH R D
suffuse,suffused,S AH F Y UW Z,S AH F Y UW Z D
stink,stank,S T IH NG K,S T AE NG K
gust,gusted,G AH S T,G AH S T IH D
salute,saluted,S AH L UW T,S AH L UW T IH D
vat,vatted,V AE T,V AE T IH D
balk,balked,B AO K,B AO K T
pinpoint,pinpointed,P IH N P OY N T,P IH N P OY N T IH D
canonize,canonized,K AE N AH N AY Z,K AE N AH N AY Z D
press,pressed,P R EH S,P R EH S T
airlift,airlifted,EH R L IH F T,EH R L IH F T IH D
freckle,freckled,F R EH K AH L,F R EH K AH L D
occur,occurred,AH K ER,AH K ER D
assure,assured,AH SH UH R,AH SH UH R D
season,seasoned,S IY Z AH N,S IY Z AH N D
organize,organized,AO R G AH N AY Z,AO R G AH N AY Z D
slant,slanted,S L AE N T,S L AE N T IH D
jerk,jerked,JH ER K,JH ER K T
outstretch,outstretched,AW T S T R EH CH,AW T S T R EH CH T
rattle,rattled,R AE T AH L,R AE T AH L D
exhale,exhaled,EH K S HH EY L,EH K S HH EY L D
whack,whacked,W AE K,W AE K T
intercept,intercepted,IH N T ER S EH P T,IH N T ER S EH P T AH D
bicycle,bicycled,B AY S IH K AH L,B AY S IH K AH L D
untie,untied,AH N T AY,AH N T AY D
chisel,chiseled,CH IH Z AH L,CH IH Z AH L D
tumble,tumbled,T AH M B AH L,T AH M B AH L D
eat,ate,IY T,EY T
lunge,lunged,L AH N JH,L AH N JH D
accrue,accrued,AH K R UW,AH K R UW D
evince,evinced,IH V IH N S,IH V IH N S T
pervade,pervaded,P ER V EY D,P ER V EY D IH D
trump,trumped,T R AH M P,T R AH M P T
appraise,appraised,AH P R EY Z,AH P R EY Z D
soar,soared,S AO R,S AO R D
equate,equated,IH K W EY T,IH K W EY T IH D
wrestle,wrestled,R EH S AH L,R EH S AH L D
hope,hoped,HH OW P,HH OW P T
coif,coiffed,K W AA F,K OY F T
humble,humbled,HH AH M B AH L,HH AH M B AH L D
shortchange,shortchanged,SH AO R T CH EY N JH,SH AO R T CH EY N JH D
topple,toppled,T AA P AH L,T AA P AH L D
tolerate,tolerated,T AA L ER EY T,T AA L ER EY T IH D
outdistance,outdistanced,AW T D IH S T AH N S,AW T D IH S T AH N S T
aggrieve,aggrieved,AH G R IY V,AH G R IY V D
mill,milled,M IH L,M IH L D
dictate,dictated,D IH K T EY T,D IH K T EY T IH D
bede,bade,B IY D,B EY D
leverage,leveraged,L EH V ER IH JH,L IY V ER IH JH D
underbid,underbid,AH N D ER B IH D,AH N D ER B IH D
bespeak,bespoke,B IH S P IY K,B UH S P OW K
store,stored,S T AO R,S T AO R D
lapse,lapsed,L AE P S,L AE P S T
standardize,standardized,S T AE N D ER D AY Z,S T AE N D ER D AY Z D
redraft,redrafted,R IY D R AE F T,R IY D R AE F T IH D
grapple,grappled,G R AE P AH L,G R AE P AH L D
dim,dimmed,D IH M,D IH M D
suffocate,suffocated,S AH F AH K EY T,S AH F AH K EY T IH D
enlist,enlisted,EH N L IH S T,EH N L IH S T IH D
tilt,tilted,T IH L T,T IH L T IH D
pilot,piloted,P AY L AH T,P AY L AH T IH D
wrinkle,wrinkled,R IH NG K AH L,R IH NG K AH L D
reignite,reignited,R IY IH G N AY T,R IY IH G N AY T IH D
congest,congested,K AH N JH EH S T,K AH N JH EH S T AH D
garner,garnered,G AA R N ER,G AA R N ER D
soup,souped,S UW P,S UW P T
surf,surfed,S ER F,S ER F T
yoke,yoked,Y OW K,Y OW K T
louse,loused,L AW S,L AW Z D
get,got,G EH T,G AA T
judge,judged,JH AH JH,JH AH JH D
misspeak,misspoke,M IH S S P IY K,M IH S S P OW K
scald,scalded,S K AO L D,S K AO L D IH D
misspend,misspent,M IH S S P EH N D,M IH S S P EH N T
calibrate,calibrated,K AE L AH B R EY T,K AE L AH B R EY T AH D
write,wrote,R AY T,R OW T
surprise,surprised,S ER P R AY Z,S ER P R AY Z D
reinsure,reinsured,R IY IH N SH UH R,R IY IH N SH UH R D
hire,hired,HH AY ER,HH AY ER D
swerve,swerved,S W ER V,S W ER V D
send,sent,S EH N D,S EH N T
block,blocked,B L AA K,B L AA K T
grouse,groused,G R AW S,G R AW S T
emit,emitted,IH M IH T,IH M IH T AH D
prod,prodded,P R AA D,P R AA D IH D
harangue,harangued,HH ER AE NG,HH ER AE NG D
cauterize,cauterized,K AO T ER AY Z,K AO T ER AY Z D
admire,admired,AE D M AY R,AH D M AY ER D
practise,practised,P R AE K T IH S,P R AE K T IH S T
pierce,pierced,P IH R S,P IH R S T
smudge,smudged,S M AH JH,S M AH JH D
reconvene,reconvened,R IY K AH N V IY N,R IY K AH N V IY N D
zipper,zippered,Z IH P ER,Z IH P ER D
rough,roughed,R AH F,R AH F T
police,policed,P AH L IY S,P AH L IY S T
predict,predicted,P R IH D IH K T,P R IH D IH K T IH D
hush,hushed,HH AH SH,HH AH SH T
vouch,vouched,V AW CH,V AW CH T
entrench,entrenched,EH N T R EH N CH,EH N T R EH N CH T
unionize,unionized,Y UW N Y AH N AY Z,Y UW N Y AH N AY Z D
retard,retarded,R IH T AA R D,R IH T AA R D IH D
table,tabled,T EY B AH L,T EY B AH L D
dump,dumped,D AH M P,D AH M P T
simplify,simplified,S IH M P L AH F AY,S IH M P L AH F AY D
bias,biased,B AY AH S,B AY AH S T
abolish,abolished,AH B AA L IH SH,AH B AA L IH SH T
reorganize,reorganized,R IY AO R G AH N AY Z,R IY AO R G AH N AY Z D
fluster,flustered,F L AH S T ER,F L AH S T ER D
predate,predated,P R IY D EY T,P R IY D EY T IH D
extirpate,extirpated,EH K S T ER P EY T,EH K S T ER P EY T AH D
poise,poised,P OY Z,P OY Z D
spangle,spangled,S P AE NG G AH L,S P AE NG G AH L D
snub,snubbed,S N AH B,S N AH B D
grate,grated,G R EY T,G R EY T IH D
demur,demurred,D IH M ER,D IH M ER D
plunk,plunked,P L AH NG K,P L AH NG K T
amuse,amused,AH M Y UW Z,AH M Y UW Z D
screech,screeched,S K R IY CH,S K R IY CH T
reimburse,reimbursed,R IY IH M B ER S,R IY IH M B ER S T
infer,inferred,IH N F ER,IH N F ER D
divvy,divvied,D IH V IY,D IH V IY D
heap,heaped,HH IY P,HH IY P T
party,partied,P AA R T IY,P AA R T IY D
bawl,bawled,B AO L,B AO L D
veer,veered,V IH R,V IH R D
mutiny,mutinied,M Y UW T AH N IY,M Y UW T AH N IY D
speak,spoke,S P IY K,S P OW K
tack,tacked,T AE K,T AE K T
theorize,theorized,TH IY ER AY Z,TH IY ER AY Z D
disagree,disagreed,D IH S AH G R IY,D IH S AH G R IY D
scurry,scurried,S K ER IY,S K ER IY D
stampede,stampeded,S T AE M P IY D,S T AE M P IY D IH D
tame,tamed,T EY M,T EY M D
wind,winded,W AY N D,W IH N D IH D
cycle,cycled,S AY K AH L,S AY K AH L D
stub,stubbed,S T AH B,S T AH B D
furrow,furrowed,F ER OW,F ER OW D
swindle,swindled,S W IH N D AH L,S W IH N D AH L D
hitch,hitched,HH IH CH,HH IH CH T
waylay,waylaid,W EY L EY,W EY L EY D
scrape,scraped,S K R EY P,S K R EY P T
leash,leashed,L IY SH,L IY SH T
newfangle,newfangled,N UW F AE NG G AH L,N UW F AE NG G AH L D
base,based,B EY S,B EY S T
glaciate,glaciated,G L EY SH IY EY T,G L EY SH IY EY T AH D
flagellate,flagellated,F L AE JH AH L EY T,F L AE JH AH L EY T AH D
quiet,quieted,K W AY AH T,K W AY AH T IH D
meander,meandered,M IY AE N D ER,M IY AE N D ER D
return,returned,R IH T ER N,R IH T ER N D
approve,approved,AH P R UW V,AH P R UW V D
handle,handled,HH AE N D AH L,HH AE N D AH L D
waver,wavered,W EY V ER,W EY V ER D
brutalize,brutalized,B R UW T AH L AY Z,B R UW T AH L AY Z D
include,included,IH N K L UW D,IH N K L UW D AH D
conserve,conserved,K AH N S ER V,K AH N S ER V D
stud,studded,S T AH D,S T AH D IH D
dub,dubbed,D AH B,D AH B D
sheathe,sheathed,SH IY DH,SH IY DH D
implicate,implicated,IH M P L IH K EY T,IH M P L IH K EY T IH D
thwart,thwarted,TH W AO R T,TH W AO R T IH D
resort,resorted,R IH Z AO R T,R IH Z AO R T IH D
buttress,buttressed,B AH T R AH S,B AH T R AH S T
extract,extracted,EH K S T R AE K T,EH K S T R AE K T IH D
pose,posed,P OW Z,P OW Z D
hesitate,hesitated,HH EH Z AH T EY T,HH EH Z IH T EY T IH D
outdate,outdated,AW T D EY T,AW T D EY T IH D
blister,blistered,B L IH S T ER,B L IH S T ER D
dilate,dilated,D AY L EY T,D AY L EY T IH D
growe,grewe,G R OW,G R UW
fester,festered,F EH S T ER,F EH S T ER D
suspect,suspected,S AH S P EH K T,S AH S P EH K T IH D
swoosh,swooshed,S W UW SH,S W UW SH T
waite,waited,W EY T,W EY T IH D
supervise,supervised,S UW P ER V AY Z,S UW P ER V AY Z D
gag,gagged,G AE G,G AE G D
winge,winged,W IH N JH,W IH NG D
counter,countered,K AW N T ER,K AW N T ER D
mulch,mulched,M AH L CH,M AH L CH T
march,marched,M AA R CH,M AA R CH T
bond,bonded,B AA N D,B AA N D AH D
broadside,broadsided,B R AO D S AY D,B R AO D S AY D IH D
scalp,scalped,S K AE L P,S K AE L P T
sympathize,sympathized,S IH M P AH TH AY Z,S IH M P AH TH AY Z D
gate,gated,G EY T,G EY T IH D
stalk,stalked,S T AO K,S T AO K T
dome,domed,D OW M,D OW M D
mutilate,mutilated,M Y UW T AH L EY T,M Y UW T AH L EY T AH D
flop,flopped,F L AA P,F L AA P T
correlate,correlated,K AO R AH L EY T,K AO R AH L EY T AH D
nap,napped,N AE P,N AE P T
imitate,imitated,IH M AH T EY T,IH M AH T EY T IH D
optimize,optimized,AA P T AH M AY Z,AA P T AH M AY Z D
shave,shaved,SH EY V,SH EY V D
quaff,quaffed,K W AA F,K W AA F AH D
fool,fooled,F UW L,F UW L D
major,majored,M EY JH ER,M EY JH ER D
revolve,revolved,R IY V AA L V,R IY V AA L V D
bribe,bribed,B R AY B,B R AY B D
transmit,transmitted,T R AE N Z M IH T,T R AE N S M IH T IH D
reexamine,reexamined,R IY EH G Z AE M AH N,R IY IH G Z AE M AH N D
misread,misread,M IH S R IY D,M IH S R IY D
filch,filched,F IH L CH,F IH L CH T
uplift,uplifted,AH P L IH F T,AH P L IH F T IH D
fulfil,fulfilled,F UH L F IH L,F UH L F IH L D
crumble,crumbled,K R AH M B AH L,K R AH M B AH L D
squelch,squelched,S K W EH L CH,S K W EH L CH T
discard,discarded,D IH S K AA R D,D IH S K AA R D IH D
partner,partnered,P AA R T N ER,P AA R T N ER D
nod,nodded,N AA D,N AA D AH D
stymie,stymied,S T AY M IY,S T AY M IY D
outset,outset,AW T S EH T,AW T S EH T
cheat,cheated,CH IY T,CH IY T AH D
restyle,restyled,R IY S T AY L,R IY S T AY L D
dice,diced,D AY S,D AY S T
cap,capped,K AE P,K AE P T
retaliate,retaliated,R IH T AE L IY EY T,R IH T AE L IY EY T IH D
inspire,inspired,IH N S P AY R,IH N S P AY ER D
eviscerate,eviscerated,AH V IH S ER EY T,AH V IH S ER EY T IH D
spy,spied,S P AY,S P AY D
disguise,disguised,D IH S G AY Z,D IH S G AY Z D
smash,smashed,S M AE SH,S M AE SH T
limb,limbed,L IH M,L IH M D
irradiate,irradiated,IH R EY D IY EY T,IH R EY D IY EY T IH D
mend,mended,M EH N D,M EH N D IH D
char,charred,CH AA R,CH AA R D
grope,groped,G R OW P,G R OW P T
hang,hung,HH AE NG,HH AH NG
corrugate,corrugated,K AO R AH G EY T,K AO R AH G EY T IH D
parallel,paralleled,P EH R AH L EH L,P EH R AH L EH L D
subscribe,subscribed,S AH B S K R AY B,S AH B S K R AY B D
attire,attired,AH T AY ER,AH T AY R D
undulate,undulated,AH N JH AH L EY T,AH N JH AH L EY T AH D
snare,snared,S N EH R,S N EH R D
sedate,sedated,S IH D EY T,S IH D EY T IH D
bemuse,bemused,B IH M Y UW Z,B IH M Y UW Z D
perpetrate,perpetrated,P ER P AH T R EY T,P ER P AH T R EY T IH D
estrange,estranged,EH S T R EY N JH,EH S T R EY N JH D
displease,displeased,D IH S P L IY Z,D IH S P L IY Z D
harry,harried,HH EH R IY,HH EH R IY D
donate,donated,D OW N EY T,D OW N EY T IH D
dish,dished,D IH SH,D IH SH T
preclude,precluded,P R IH K L UW D,P R IH K L UW D IH D
prejudice,prejudiced,P R EH JH AH D IH S,P R EH JH AH D AH S T
rework,reworked,R IY W ER K,R IY W ER K T
barbeque,barbequed,B AA R B IH K Y UW,B AA R B IH K Y UW D
task,tasked,T AE S K,T AE S K T
research,researched,R IY S ER CH,R IY S ER CH T
host,hosted,HH OW S T,HH OW S T IH D
oppress,oppressed,AH P R EH S,AH P R EH S T
make,made,M EY K,M EY D
unset,unset,AH N S EH T,AH N S EH T
construe,construed,K AH N S T R UW,K AH N S T R UW D
hull,hulled,HH AH L,HH AH L D
misguide,misguided,M IH S G AY D,M IH S G AY D IH D
lead,leaded,L EH D,L EH D IH D
daze,dazed,D EY Z,D EY Z D
reveal,revealed,R IH V IY L,R IH V IY L D
strangle,strangled,S T R AE NG G AH L,S T R AE NG G AH L D
flood,flooded,F L AH D,F L AH D AH D
subsidize,subsidized,S AH B S IH D AY Z,S AH B S IH D AY Z D
grass,grassed,G R AE S,G R AE S T
admonish,admonished,AE D M AA N IH SH,AH D M AA N IH SH T
cleanse,cleansed,K L EH N Z,K L EH N Z D
grin,grinned,G R IH N,G R IH N D
bankrupt,bankrupted,B AE NG K R AH P T,B AE NG K R AH P T IH D
peter,petered,P IY T ER,P IY T ER D
heave,heaved,HH IY V,HH IY V D
enclose,enclosed,IH N K L OW Z,EH N K L OW Z D
telex,telexed,T EH L EH K S,T EH L EH K S T
betake,betook,B IY T EY K,B EH T UH K
fossilize,fossilized,F AA S AH L AY Z,F AA S AH L AY Z D
disperse,dispersed,D IH S P ER S,D IH S P ER S T
glide,glided,G L AY D,G L AY D IH D
couch,couched,K AW CH,K AW CH T
hurt,hurt,HH ER T,HH ER T
monopolize,monopolized,M AH N AA P AH L AY Z,M AH N AA P AH L AY Z D
fast,fasted,F AE S T,F AE S T IH D
telecast,telecast,T EH L AH K AE S T,T EH L AH K AE S T
rebate,rebated,R IY B EY T,R IY B EY T IH D
yield,yielded,Y IY L D,Y IY L D IH D
waterlog,waterlogged,W AO T ER L AA G,W AO T ER L AA G D
hurry,hurried,HH ER IY,HH ER IY D
bust,busted,B AH S T,B AH S T IH D
reshape,reshaped,R IY SH EY P,R IY SH EY P T
sodomize,sodomized,S AO D AH M AY Z,S AO D AH M AY Z D
position,positioned,P AH Z IH SH AH N,P AH Z IH SH AH N D
procure,procured,P R OW K Y UH R,P R OW K Y UH R D
ply,plied,P L AY,P L AY D
stare,stared,S T EH R,S T EH R D
update,updated,AH P D EY T,AH P D EY T IH D
livery,liveried,L IH V ER IY,L IH V R IY D
entrap,entrapped,IH N T R AE P,IH N T R AE P T
tattle,tattled,T AE T AH L,T AE T AH L D
derail,derailed,D IH R EY L,D IH R EY L D
stanch,stanched,S T AE N CH,S T AE N CH T
purport,purported,P ER P AO R T,P ER P AO R T IH D
heckle,heckled,HH EH K AH L,HH EH K AH L D
reassess,reassessed,R IY AH S EH S,R IY AH S EH S T
reiterate,reiterated,R IY IH T ER EY T,R IY IH T ER EY T IH D
authorize,authorized,AO TH ER AY Z,AO TH ER AY Z D
hurl,hurled,HH ER L,HH ER L D
snicker,snickered,S N IH K ER,S N IH K ER D
whisk,whisked,W IH S K,W IH S K T
superimpose,superimposed,S UW P ER AH M P OW Z,S UW P ER AH M P OW Z D
merge,merged,M ER JH,M ER JH D
tease,teased,T IY Z,T IY Z D
presage,presaged,P R EH S IH JH,P R EH S IH JH D
repackage,repackaged,R IY P AE K IH JH,R IY P AE K IH JH D
abuse,abused,AH B Y UW S,AH B Y UW Z D
tank,tanked,T AE NG K,T AE NG K T
cashier,cashiered,K AE SH IH R,K AE SH IH R D
wince,winced,W IH N S,W IH N S T
text,texted,T EH K S T,T EH K S T IH D
rely,relied,R IH L AY,R IH L AY D
inflate,inflated,IH N F L EY T,IH N F L EY T IH D
battle,battled,B AE T AH L,B AE T AH L D
braid,braided,B R EY D,B R EY D IH D
reverberate,reverberated,R IH V ER B ER AH T,R IH V ER B ER EY T IH D
wed,wedded,W EH D,W EH D IH D
circle,circled,S ER K AH L,S ER K AH L D
stalemate,stalemated,S T EY L M EY T,S T EY L M EY T IH D
story,storied,S T AO R IY,S T AO R IY D
overcharge,overcharged,OW V ER CH AA R JH,OW V ER CH AA R JH D
wake,woke,W EY K,W OW K
offshore,offshored,AO F SH AO R,AO F SH AO R D
line,lined,L AY N,L AY N D
caramelize,caramelized,K EH R AH M AH L AY Z,K EH R AH M AH L AY Z D
overwrite,overwrote,OW V ER R AY T,OW V ER R OW T
patter,pattered,P AE T ER,P AE T ER D
douse,doused,D AW S,D AW S T
spook,spooked,S P UW K,S P UW K T
abdicate,abdicated,AE B D AH K EY T,AE B D AH K EY T IH D
up,upped,AH P,AH P T
zap,zapped,Z AE P,Z AE P T
warm,warmed,W AO R M,W AO R M D
cascade,cascaded,K AE S K EY D,K AE S K EY D IH D
invade,invaded,IH N V EY D,IH N V EY D AH D
peddle,peddled,P EH D AH L,P EH D AH L D
electrify,electrified,IH L EH K T R AH F AY,IH L EH K T R AH F AY D
delete,deleted,D IH L IY T,D IH L IY T AH D
out,outed,AW T,AW T AH D
camouflage,camouflaged,K AE M AH F L AA ZH,K AE M AH F L AA ZH D
flinch,flinched,F L IH N CH,F L IH N CH T
rev,revved,R EH V,R EH V D
diverge,diverged,D IH V ER JH,D AY V ER JH D
schedule,scheduled,S K EH JH UH L,S K EH JH UH L D
rivet,riveted,R IH V AH T,R IH V AH T IH D
preside,presided,P R IH Z AY D,P R IH Z AY D IH D
stitch,stitched,S T IH CH,S T IH CH T
maim,maimed,M EY M,M EY M D
marshal,marshalled,M AA R SH AH L,M AA R SH AH L D
stripe,striped,S T R AY P,S T R AY P T
soothe,soothed,S UW DH,S UW DH D
count,counted,K AW N T,K AW N T IH D
teeter,teetered,T IY T ER,T IY T ER D
tear,tore,T EH R,T AO R
crackle,crackled,K R AE K AH L,K R AE K AH L D
journey,journeyed,JH ER N IY,JH ER N IY D
tiptoe,tiptoed,T IH P T OW,T IH P T OW D
befall,befell,B IH F AO L,B IH F EH L
lionize,lionized,L AY AH N AY Z,L AY AH N AY Z D
innovate,innovated,IH N AH V EY T,IH N AH V EY T IH D
rehearse,rehearsed,R IY HH ER S,R IY HH ER S T
huff,huffed,HH AH F,HH AH F T
vacate,vacated,V EY K EY T,V EY K EY T IH D
delouse,deloused,D IY L AW Z,D IY L AW Z D
sex,sexed,S EH K S,S EH K S T
clip,clipped,K L IH P,K L IH P T
shuck,shucked,SH AH K,SH AH K T
resemble,resembled,R IH Z EH M B AH L,R IH Z EH M B AH L D
rage,raged,R EY JH,R EY JH D
remake,remade,R IY M EY K,R IY M EY D
specialize,specialized,S P EH SH AH L AY Z,S P EH SH AH L AY Z D
query,queried,K W IY R IY,K W IH R IY D
traverse,traversed,T R AE V ER S,T R AE V ER S T
meld,melded,M EH L D,M EH L D AH D
elaborate,elaborated,IH L AE B R AH T,IH L AE B ER EY T AH D
crochet,crocheted,K R OW SH EY,K R OW SH EY D
delude,deluded,D IH L UW D,D IH L UW D IH D
bedevil,bedeviled,B IH D EH V AH L,B IH D EH V AH L D
bend,bent,B EH N D,B EH N T
flash,flashed,F L AE SH,F L AE SH T
toggle,toggled,T AA G AH L,T AA G AH L D
club,clubbed,K L AH B,K L AH B D
sucker,suckered,S AH K ER,S AH K ER D
possess,possessed,P AH Z EH S,P AH Z EH S T
militarize,militarized,M IH L AH T ER AY Z,M IH L AH T ER AY Z D
top,topped,T AA P,T AA P T
buffer,buffered,B AH F ER,B AH F ER D
lash,lashed,L AE SH,L AE SH T
zoom,zoomed,Z UW M,Z UW M D
blame,blamed,B L EY M,B L EY M D
spread,spread,S P R EH D,S P R EH D
officiate,officiated,AH F IH SH IY EY T,AH F IH SH IY EY T AH D
curate,curated,K Y UH R AH T,K Y UH R EY T IH D
hint,hinted,HH IH N T,HH IH N T AH D
tamper,tampered,T AE M P ER,T AE M P ER D
deter,deterred,D IH T ER,D IH T ER D
spare,spared,S P EH R,S P EH R D
complete,completed,K AH M P L IY T,K AH M P L IY T AH D
pipe,piped,P AY P,P AY P T
train,trained,T R EY N,T R EY N D
unwelcome,unwelcomed,AH N W EH L K AH M,AH N W EH L K AH M D
sock,socked,S AA K,S AA K T
critique,critiqued,K R AH T IY K,K R IH T IY K T
nourish,nourished,N ER IH SH,N ER IH SH T
unwind,unwound,AH N W AY N D,AH N W AW N D
rumble,rumbled,R AH M B AH L,R AH M B AH L D
produce,produced,P R AH D UW S,P R AH D UW S T
structure,structured,S T R AH K CH ER,S T R AH K CH ER D
edit,edited,EH D AH T,EH D AH T AH D
shove,shoved,SH AH V,SH AH V D
truck,trucked,T R AH K,T R AH K T
zigzag,zigzagged,Z IH G Z AE G,Z IH G Z AE G D
google,googled,G UW G AH L,G UW G AH L D
balkanize,balkanized,B AO L K AH N AY Z,B AO L K AH N AY Z D
cow,cowed,K AW,K AW D
crawl,crawled,K R AO L,K R AO L D
excuse,excused,IH K S K Y UW S,IH K S K Y UW Z D
prattle,prattled,P R AE T AH L,P R AE T AH L D
barge,barged,B AA R JH,B AA R JH D
grandfather,grandfathered,G R AE N D F AA DH ER,G R AE N D F AA DH ER D
undo,undid,AH N D UW,AH N D IH D
sacrifice,sacrificed,S AE K R AH F AY S,S AE K R AH F AY S T
filter,filtered,F IH L T ER,F IH L T ER D
huddle,huddled,HH AH D AH L,HH AH D AH L D
groin,groined,G R OY N,G R OY N D
exclude,excluded,IH K S K L UW D,IH K S K L UW D AH D
demonize,demonized,D IY M AH N AY Z,D IY M AH N AY Z D
near,neared,N IH R,N IH R D
absorb,absorbed,AH B Z AO R B,AH B Z AO R B D
shoe,shod,SH UW,SH AA D
excrete,excreted,IH K S K R IY T,IH K S K R IY T IH D
pickle,pickled,P IH K AH L,P IH K AH L D
bicker,bickered,B IH K ER,B IH K ER D
gauge,gauged,G EY JH,G EY JH D
apologise,apologised,AH P AA L AH JH AY Z,AH P AA L AH JH AY Z D
mention,mentioned,M EH N SH AH N,M EH N SH AH N D
leap,leaped,L IY P,L EH P T
slide,slid,S L AY D,S L IH D
cruise,cruised,K R UW Z,K R UW Z D
whittle,whittled,W IH T AH L,W IH T AH L D
tee,teed,T IY,T IY D
jaw,jawed,JH AO,JH AO D
inflame,inflamed,IH N F L EY M,IH N F L EY M D
reassume,reassumed,R IY AH S UW M,R IY AH S UW M D
influence,influenced,IH N F L UW AH N S,IH N F L UW AH N S T
backlist,backlisted,B AE K L IH S T,B AE K L IH S T IH D
excerpt,excerpted,EH K S ER P T,EH K S ER P T IH D
scapegoat,scapegoated,S K EY P G OW T,S K EY P G OW T IH D
mentor,mentored,M EH N T AO R,M EH N T ER D
